,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss
0,fedavg,0,cifar--alpha0.1,0.1,6,0.1,,,,0.5948511307642284,0.42342342342342343,0.14659258513895165,1.4075348064831303,0.8291705250740051,0.5473626878675241,0.5703172865077126,0.6416250838213069,0.5154061624649859,0.1173222466480384,1.2576638074059523,0.6953841459594274,0.49964156104051743,0.5640134260369216,1.519875680032197,0.6151990349819059,1.3225980710790946
1,fedavg,1,cifar--alpha0.1,0.1,6,0.1,,,,0.5906607962826049,0.358695652173913,0.15055515251876173,1.3989156309967945,0.830254594205131,0.5414894222891045,0.5668294554211346,0.6258182678361336,0.5151515151515151,0.10978321386900404,1.2743559293158528,0.7344284057617188,0.4802723756277744,0.5694078158714937,1.4871834851901873,0.6019300361881785,1.3450940891182492
2,fedavg,0,cifar--alpha0.1,0.1,6,0.5,,,,0.5498917601056215,0.3157894736842105,0.1708033224080696,1.633732548152126,0.7760165151903184,0.6648239121606682,0.5145575154966254,0.5564721198071988,0.34523809523809523,0.1717153912848728,1.6263590874755038,0.7163248355271387,0.7441456610555264,0.5155837928554303,1.7468202768779668,0.5367913148371531,1.6691961902990236
3,fedavg,0,cifar--alpha0.1,0.1,6,0.05,,,,0.5919453815662284,0.4130434782608696,0.14544796302625734,1.3359346776889094,0.7293904615660846,0.5339768121758154,0.5643409548877057,0.6503168250727025,0.5189873417721519,0.124880843626124,1.2112114438378023,0.7175064752198229,0.47346375418406184,0.5668904339486933,1.440794818859134,0.6308805790108565,1.2534815731252775
4,fedavg,0,cifar--alpha0.1,0.1,6,0.005,,,,0.5391326760557336,0.3488372093023256,0.1621666891446968,1.326024175085423,0.744731068611145,0.4705843745669613,0.4961020638487671,0.6015512128179876,0.38461538461538464,0.1661021049147314,1.2418123403260204,0.7769997619619273,0.4202988216074165,0.5169024214816591,1.398287435484462,0.5494571773220748,1.3172910143368497
5,fedavg,0,cifar--alpha0.1,0.1,6,0.01,,,,0.5552200259667079,0.3720930232558139,0.14701843316514152,1.3831708035990449,0.7850554445615181,0.4991851219066729,0.5186189598871718,0.6006047368149324,0.43661971830985913,0.15710584712229378,1.2881523043516785,0.7399152466143021,0.4490923731983429,0.5360824742268041,1.4677743694834988,0.5639324487334137,1.3585819029513255
6,fedavg,1,cifar--alpha0.1,0.1,6,0.05,,,,0.5855149514638072,0.3448275862068966,0.17559825402782522,1.4261111620803155,0.7358839246961806,0.6670724146780921,0.5375642203788458,0.6068907122127379,0.3939393939393939,0.14897121182919248,1.3738320369867918,0.833985329458588,0.6092243139782104,0.5544233996643491,1.5475870500785596,0.5663449939686369,1.4954428564042608
7,fedavg,1,cifar--alpha0.1,0.1,6,0.005,,,,0.35768159639240416,0.09655172413793103,0.23929442167004528,2.115562028570368,0.7754894450858787,0.934388761034801,0.33099409905981075,0.4078645756993411,0.2307692307692308,0.1525554579323225,1.8980235876464853,1.109178575814939,0.5650597726772221,0.3549508511148406,2.200863910589915,0.42279855247285886,1.8140266174574091
8,fedavg,1,cifar--alpha0.1,0.1,6,0.5,,,,0.4990876046607502,0.3333333333333333,0.15934725398833527,1.6458304286172427,0.8344088196754456,0.5876502069402497,0.5133571272808389,0.5232073903036807,0.3684210526315789,0.11355385211731704,1.5097418408748118,0.8543757630997345,0.4220506305561962,0.49568448813234234,1.6681647492218534,0.5560916767189384,1.4130427361161542
9,fedavg,1,cifar--alpha0.1,0.1,6,0.01,,,,0.43333975442595635,0.182648401826484,0.21604842298070664,1.9167892579466688,0.7356602811813354,0.8074012489565453,0.4389030563294586,0.47678959674046056,0.29357798165137616,0.14161906817580366,1.764764317845443,1.0417698559008146,0.5800898546451628,0.4228002877007912,1.970868455027104,0.4861278648974669,1.6816551152917818
