,method,finetune,dataset,n_epochs,lr,regular_weight,K,beta,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_f1,Results/test_f1_bottom_decile,Results/test_f1_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_f1,Results_unseen/test_f1_bottom_decile,Results_unseen/test_f1_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_f1,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_f1,Results_weighted_unseen/test_loss,sys_avg/total_flops,sys_avg/local_convergence_round,sys_avg/total_model_size,sys_avg/total_upload_bytes,sys_avg/local_convergence_time_minutes,sys_avg/global_convergence_time_minutes,sys_avg/global_convergence_round,sys_avg/total_download_bytes,sys_avg/fl_end_time_minutes
0,pfedme,1,pubmed2,3,0.1,0.8,3.0,,0.8537295260748401,0.8292079207920792,0.02699370433472531,0.6308373620835935,0.6194810160418761,0.012343635812299704,0.44158507386843365,0.38557907938957214,0.05319072869672243,0.853120901943468,0.7800134716643256,0.7397504456327986,0.04026302603152698,0.6372181365125168,0.5990671233528376,0.03815101315967917,0.6556844115257263,0.5171172618865967,0.13856714963912964,0.8553259141494436,0.6306494388214213,0.4393600099534981,0.7886634009797061,0.6290219426426626,0.6259152618131911,28.4M,2.5,33.45K,1.51M,0.05931816666666667,1.639050275,135,1.5M,1.639129802777778
1,pfedme,1,pubmed2,3,0.1,0.5,3.0,,0.8464391112502273,0.823019801980198,0.02875338005398422,0.6237760729967889,0.6117074426075305,0.01182901658942707,0.444077084461848,0.4044005572795868,0.040187794460672825,0.8445451156122239,0.7890236739857233,0.7450980392156863,0.043925634770037025,0.6436044145588058,0.6098640059127863,0.033740408646019515,0.6379061490297318,0.4719257056713104,0.16598044335842133,0.8481717011128775,0.6236651626333721,0.4425201473582909,0.7984604618614416,0.6363557753325442,0.6022476493019253,33.63M,2.5,33.45K,1.79M,0.06168083888888889,1.935309880555556,160,1.78M,1.9353668694444448
2,pfedme,1,pubmed2,3,0.1,0.05,3.0,,0.8351721304884077,0.7945544554455446,0.05073013469791782,0.6108060819638582,0.5937118254551823,0.01307362683067936,0.5002709130446116,0.4399677813053131,0.05152504907511649,0.8434702337724866,0.7459071605181662,0.7130124777183601,0.03289468279980612,0.61149016882811,0.575298941482469,0.03619122734564112,0.6316091120243073,0.5544214248657227,0.0771876871585846,0.8382352941176471,0.6114804739210742,0.49782527700090257,0.7529741077676697,0.6037150066201942,0.6150264528516792,87.98M,2.5,33.45K,4.68M,0.06221916111111111,4.544666561111112,420,4.67M,4.5447196611111105
3,pfedme,1,pubmed2,3,0.1,0.1,3.0,,0.8463790698774533,0.8131188118811881,0.04272559570902473,0.6228969801557672,0.6043394939394103,0.013651321898104486,0.45054654280344647,0.4053123891353607,0.04267138112279448,0.8459343111543375,0.7667533288975414,0.7201426024955436,0.04661072640199776,0.6260377361449155,0.5950441639399682,0.03099357220494736,0.6037589907646179,0.4665348529815674,0.13722413778305054,0.848966613672496,0.6235466936620562,0.448747106003079,0.7767669699090273,0.6193792150344054,0.5742783677419472,77.53M,2.5,33.45K,4.12M,0.06302051666666668,4.062447094444445,370,4.12M,4.062505433333333
4,pfedme,1,pubmed2,3,0.01,0.8,3.0,,0.762156119446577,0.6547029702970297,0.08549439141515311,0.5578086923144175,0.520259258565461,0.028788097345677312,0.9106036225954692,0.8671337962150574,0.048201045790254395,0.7725256317777456,0.5344564512021817,0.434331797235023,0.1001246539671587,0.4755283183095549,0.4077948874750077,0.06773343083454719,1.0768426060676577,1.0005011558532717,0.07634145021438599,0.766295707472178,0.5591125924380471,0.9098218846207392,0.5129461161651504,0.4609767694878571,1.093243463461511,104.53M,2.5,33.45K,5.56M,0.06430411388888889,0.0,0,5.56M,5.558313630555555
5,pfedme,1,pubmed2,3,0.01,0.5,3.0,,0.7101361188466634,0.5532178217821783,0.11676949487358523,0.5108350605906341,0.46585713228218223,0.03219807063843101,1.0507692098617554,1.0097994804382324,0.05168835284087762,0.7201172493626337,0.479286289295777,0.3721198156682028,0.10716647362757416,0.3793749705201648,0.30313795571696905,0.07623701480319572,1.2071664333343506,1.1267216205596924,0.0804448127746582,0.7150238473767886,0.5113787695735971,1.0492316448915933,0.4562631210636809,0.3629965495652445,1.2244488388779615,104.53M,2.5,33.45K,5.56M,0.05973875833333333,0.0,0,5.56M,5.448272255555555
6,pfedme,1,pubmed2,3,0.01,0.1,3.0,,0.5909650132934435,0.34282178217821785,0.20847071436502793,0.2432866414735789,0.19451274081671935,0.04715210856713666,1.4226161241531372,1.2373504638671875,0.13868010014235793,0.5862348463818883,0.32624222709611705,0.2050691244239631,0.12117310267215388,0.1621852957497868,0.07457013574660634,0.08761516000318047,1.5944559574127195,1.509555459022522,0.08490049839019775,0.6017488076311606,0.24596269844590793,1.414870375290584,0.3002099370188943,0.14336244472041215,1.61269560262321,104.53M,2.5,33.45K,5.56M,0.057383413888888894,0.0,0,5.56M,5.4902757472222214
7,pfedme,1,pubmed2,3,0.01,0.05,3.0,,0.4937802286709478,0.22896039603960397,0.24689818781113748,0.1793627205642899,0.10496582686694712,0.08720984748359806,1.5245116551717122,1.3003877401351929,0.16849851604870042,0.49204195104659615,0.2648763317643773,0.15898617511520738,0.10589015664916994,0.11286858003726584,0.06388888888888888,0.048979691148376955,1.692484200000763,1.599345088005066,0.09313911199569702,0.5075516693163752,0.18458283233883632,1.5151530115706742,0.24212736179146255,0.10234600118313587,1.7124937922909511,104.53M,2.5,33.45K,5.56M,0.05872118888888889,0.0,0,5.56M,5.536832852777778
8,pfedme,1,pubmed2,3,0.5,0.8,3.0,,0.8474087238519173,0.8168316831683168,0.028132894866624295,0.6279143390451285,0.6195141443861213,0.009306702877737874,0.4312402804692586,0.3470533788204193,0.07210979558424688,0.851677860235862,0.7842747069502287,0.7736185383244206,0.010656168625808147,0.6544993433845439,0.5938802650237115,0.06061907836083241,0.5749989449977875,0.5096470713615417,0.06535187363624573,0.848966613672496,0.6277637798382315,0.4278277112304312,0.7865640307907628,0.6414762103847009,0.5609590393250601,11.67M,2.5,33.45K,635.28K,0.0590699,0.6783313916666666,55,630.64K,0.6784153972222221
9,pfedme,1,pubmed2,3,0.5,0.5,3.0,,0.8547908729076958,0.8143564356435643,0.033683057409608315,0.6329778084406591,0.6236981888355234,0.009640943042949504,0.4044028917948405,0.32215213775634766,0.07361707900328976,0.8596828722936808,0.7775686520942688,0.768270944741533,0.009297707352735772,0.6613472867172995,0.6030612098521037,0.058286076865195824,0.6160255670547485,0.5632015466690063,0.05282402038574219,0.8565182829888712,0.6326154559904794,0.4010975729490502,0.7795661301609517,0.6488253653753715,0.6046770896170839,12.72M,2.5,33.45K,692.17K,0.05787286666666666,0.7684202611111113,60,687.54K,0.7684806888888889
10,pfedme,1,pubmed2,3,0.5,0.1,3.0,,0.8572956820243807,0.8267326732673267,0.02870674958411689,0.6366230587600966,0.6259989500942863,0.011146061970923065,0.42274710536003113,0.3587653636932373,0.056805555743630165,0.8550126915764609,0.7912846956964603,0.7611408199643493,0.030143875732111025,0.6594805354125204,0.6168158404448181,0.042664694967702366,0.5956582427024841,0.4853404760360718,0.11031776666641235,0.8589030206677265,0.6364741308818868,0.42017189622967727,0.7977606717984604,0.6503146422319154,0.5719580646992731,24.22M,2.5,33.45K,1.29M,0.06568122777777778,1.5652495583333332,115,1.28M,1.565336788888889
11,pfedme,1,pubmed2,3,0.5,0.05,3.0,,0.8370170310997084,0.8143564356435643,0.026934445388979284,0.617406414303951,0.6061416367987498,0.01388640343743066,0.4610795478026072,0.42812037467956543,0.03507151174166612,0.836103892496479,0.7846761871904187,0.7433155080213903,0.0413606791690283,0.6450537692252185,0.6149189651946347,0.03013480403058383,0.5588881075382233,0.4450926780700683,0.11379542946815492,0.8386327503974563,0.6171159295363476,0.4605842565196686,0.7935619314205739,0.6385797420471995,0.5344408039365973,16.9M,2.5,33.45K,919.75K,0.06051154444444445,1.0511045305555555,80,915.11K,1.0511928333333334
12,pfedme,1,pubmed2,3,0.005,0.8,3.0,,0.6454034337065176,0.4418316831683168,0.16341615566723056,0.37032557919490094,0.3492712492712493,0.023646663279722847,1.2813498973846436,1.1556994915008545,0.0949458713491596,0.6493127228259845,0.38691194953054536,0.2764976958525346,0.11041425367801078,0.23325923741183627,0.17155162324743112,0.06170761416440515,1.4497085809707642,1.372982382774353,0.07672619819641113,0.6534181240063593,0.3693192584612309,1.2761106044290933,0.3631910426871938,0.22000224822466177,1.4661920959086916,104.53M,2.5,33.45K,5.56M,0.05880454444444444,0.0,0,5.56M,6.157333527777777
13,pfedme,1,pubmed2,3,0.005,0.5,3.0,,0.6182588763492315,0.3873762376237624,0.19099571823411748,0.29297107487137564,0.22681183014516348,0.04779683561694081,1.382691780726115,1.217809557914734,0.12280853060384832,0.6177379747039061,0.3566315089085488,0.23732718894009217,0.1193043199684566,0.18155744380269745,0.08643244484482364,0.0951249989578738,1.5526179075241089,1.472841739654541,0.07977616786956787,0.6279809220985691,0.29363690189168257,1.3757880103607056,0.33100069979006297,0.16112121239607236,1.5697566643722245,104.53M,2.5,33.45K,5.56M,0.0581036,0.0,0,5.56M,6.156968788888889
